iter	Accuracy	MultiClass
0	0.5008061082	1.086997348
1	0.508364868	1.076654211
2	0.504174062	1.067609787
3	0.5066282669	1.059336638
4	0.5111396026	1.051461236
5	0.5112926914	1.044381925
6	0.5162250214	1.037976863
7	0.5179377024	1.031754191
8	0.5192246052	1.026059557
9	0.5234201953	1.020838092
10	0.5225303666	1.016125304
11	0.5234776036	1.011364302
12	0.5247070981	1.007001645
13	0.5266781164	1.003137723
14	0.52850083	0.9995410326
15	0.529639428	0.9958912699
16	0.5303474637	0.9923682091
17	0.5301417507	0.9891723308
18	0.5324285147	0.9858060215
19	0.5333805357	0.9829826992
20	0.5334522961	0.9802750904
21	0.5351745452	0.9775239022
22	0.5366049687	0.9749199722
23	0.537423037	0.9724851277
24	0.5374708772	0.9702891106
25	0.5387817001	0.9682402023
26	0.5394227595	0.9660598081
27	0.5403460764	0.9639365232
28	0.54103976	0.9618807378
29	0.5410541121	0.9602571593
30	0.5422644705	0.9583300194
31	0.5432308436	0.9566028368
32	0.5439771515	0.9549214015
33	0.5443407374	0.9533979884
34	0.5452353501	0.9516652743
35	0.5456563443	0.950134162
36	0.5462974037	0.948853613
37	0.5464122203	0.9474603404
38	0.5468236465	0.946152059
39	0.5474360017	0.9446856058
40	0.5477469633	0.9435203967
41	0.5481727416	0.9421896154
42	0.548813801	0.9408920981
43	0.5493687479	0.939729879
44	0.5495935971	0.9385757329
45	0.5505121299	0.9375341609
46	0.551679432	0.9362329808
47	0.5524209559	0.9350448233
48	0.552803678	0.9338942653
49	0.5535308498	0.9326654436
50	0.5540283884	0.9316835971
51	0.5553726995	0.9301154086
52	0.5560520311	0.9290618766
53	0.5561955518	0.9281736177
54	0.5567600668	0.9273068121
55	0.5575111587	0.9262067853
56	0.5579752092	0.9254422383
57	0.5588028455	0.9245432153
58	0.5595108813	0.9234558213
59	0.5595874257	0.9226661582
60	0.5601806448	0.9219210462
61	0.5610274172	0.9211072387
62	0.5614244913	0.9204210301
63	0.5621755833	0.9193511277
64	0.5626061456	0.9182453451
65	0.5631132522	0.9172990052
66	0.5636012228	0.9164472992
67	0.5640030809	0.9155366151
68	0.5650986227	0.914557983
69	0.5657492501	0.9137663763
70	0.5664094456	0.9130918288
71	0.5665386143	0.9123986684
72	0.5669930967	0.9115655752
73	0.567825517	0.9105799913
74	0.5680360141	0.9097288833
