iter	Passed	Remaining
0	15	7655
1	26	6474
2	40	6760
3	50	6293
4	61	6061
5	71	5904
6	81	5721
7	91	5636
8	102	5567
9	115	5682
10	126	5629
11	137	5584
12	149	5581
13	163	5658
14	174	5636
15	184	5595
16	195	5565
17	204	5480
18	219	5556
19	230	5524
20	241	5502
21	251	5461
22	267	5538
23	277	5496
24	287	5457
25	297	5417
26	307	5392
27	326	5502
28	336	5469
29	344	5403
30	353	5345
31	361	5291
32	372	5268
33	383	5252
34	393	5233
35	407	5256
36	417	5222
37	428	5206
38	439	5197
39	450	5185
40	461	5165
41	477	5205
42	489	5199
43	498	5165
44	509	5155
45	519	5124
46	530	5110
47	540	5092
48	554	5101
49	566	5101
50	578	5092
51	590	5090
52	600	5062
53	610	5043
54	624	5053
55	634	5030
56	644	5011
57	653	4981
58	663	4958
59	676	4964
60	686	4942
61	700	4946
62	711	4937
63	722	4919
64	733	4908
65	743	4890
66	753	4871
67	766	4870
68	777	4855
69	787	4834
70	796	4812
71	806	4796
72	816	4775
73	826	4760
74	839	4756
75	849	4741
76	860	4724
77	871	4714
78	882	4702
79	892	4688
80	902	4669
81	916	4671
82	924	4644
83	935	4631
84	945	4618
85	957	4609
86	969	4602
87	985	4613
88	993	4589
89	1003	4572
90	1015	4562
91	1025	4546
92	1034	4526
93	1043	4507
94	1057	4507
95	1068	4494
96	1078	4481
97	1088	4466
98	1097	4446
99	1107	4431
100	1116	4411
101	1134	4426
102	1154	4450
103	1170	4457
104	1187	4466
105	1198	4453
106	1212	4455
107	1223	4441
108	1234	4427
109	1245	4414
110	1255	4399
111	1266	4386
112	1277	4376
113	1291	4374
114	1302	4359
115	1312	4344
116	1322	4328
117	1334	4321
118	1348	4316
119	1371	4342
120	1384	4335
121	1394	4322
122	1406	4310
123	1418	4300
124	1429	4287
125	1445	4289
126	1458	4282
127	1469	4271
128	1481	4261
129	1498	4266
130	1512	4260
131	1527	4257
132	1537	4243
133	1547	4225
134	1558	4212
135	1569	4199
136	1582	4192
137	1592	4178
138	1607	4175
139	1617	4159
140	1626	4141
141	1639	4133
142	1655	4133
143	1665	4118
144	1682	4119
145	1693	4106
146	1704	4093
147	1714	4078
148	1730	4076
149	1744	4070
150	1756	4059
151	1767	4047
152	1778	4033
153	1790	4021
154	1805	4017
155	1815	4003
156	1824	3985
157	1834	3971
158	1846	3960
159	1856	3945
160	1874	3947
161	1888	3940
162	1900	3929
163	1912	3917
164	1924	3906
165	1938	3900
166	1949	3887
167	1960	3874
168	1972	3862
169	1982	3848
170	1994	3836
171	2006	3826
172	2021	3820
